Name	ManaCost	SuperType	Types	SubTypes	Text	Power	Toughness
Ancient Tomb		None	Land	None	{T}: Add  to your mana pool. Ancient Tomb deals 2 damage to you.		
Arid Mesa		None	Land	None	{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card and put it onto the battlefield. Then shuffle your library.		
Blood Crypt		None	Land	Swamp,Mountain	({T}: Add {B} or {R} to your mana pool.)|As Blood Crypt enters the battlefield, you may pay 2 life. If you don't, Blood Crypt enters the battlefield tapped.		
Bloodstained Mire		None	Land	None	{T}, Pay 1 life, Sacrifice Bloodstained Mire: Search your library for a Swamp or Mountain card and put it onto the battlefield. Then shuffle your library.		
Breeding Pool		None	Land	Forest,Island	({T}: Add {G} or {U} to your mana pool.)|As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, Breeding Pool enters the battlefield tapped.		
Canopy Vista		None	Land	Forest,Plains	({T}: Add {G} or {W} to your mana pool.)|Canopy Vista enters the battlefield tapped unless you control two or more basic lands.		
Cascade Bluffs		None	Land	None	{T}: Add  to your mana pool.|{U/R}, {T}: Add {U}{U}, {U}{R}, or {R}{R} to your mana pool.		
Cinder Glade		None	Land	Mountain,Forest	({T}: Add {R} or {G} to your mana pool.)|Cinder Glade enters the battlefield tapped unless you control two or more basic lands.		
Dust Bowl		None	Land	None	{T}: Add  to your mana pool.|{3}, {T}, Sacrifice a land: Destroy target nonbasic land.		
Eye of Ugin		Legendary	Land	None	Colorless Eldrazi spells you cast cost {2} less to cast.|{7}, {T}: Search your library for a colorless creature card, reveal it, and put it into your hand. Then shuffle your library.		
Fetid Heath		None	Land	None	{T}: Add  to your mana pool.|{W/B}, {T}: Add {W}{W}, {W}{B}, or {B}{B} to your mana pool.		
Fire-Lit Thicket		None	Land	None	{T}: Add  to your mana pool.|{R/G}, {T}: Add {R}{R}, {R}{G}, or {G}{G} to your mana pool.		
Flooded Grove		None	Land	None	{T}: Add  to your mana pool.|{G/U}, {T}: Add {G}{G}, {G}{U}, or {U}{U} to your mana pool.		
Flooded Strand		None	Land	None	{T}, Pay 1 life, Sacrifice Flooded Strand: Search your library for a Plains or Island card and put it onto the battlefield. Then shuffle your library.		
Forbidden Orchard		None	Land	None	{T}: Add one mana of any color to your mana pool.|Whenever you tap Forbidden Orchard for mana, target opponent creates a 1/1 colorless Spirit creature token.		
Godless Shrine		None	Land	Plains,Swamp	({T}: Add {W} or {B} to your mana pool.)|As Godless Shrine enters the battlefield, you may pay 2 life. If you don't, Godless Shrine enters the battlefield tapped.		
Graven Cairns		None	Land	None	{T}: Add  to your mana pool.|{B/R}, {T}: Add {B}{B}, {B}{R}, or {R}{R} to your mana pool.		
Hallowed Fountain		None	Land	Plains,Island	({T}: Add {W} or {U} to your mana pool.)|As Hallowed Fountain enters the battlefield, you may pay 2 life. If you don't, Hallowed Fountain enters the battlefield tapped.		
Horizon Canopy		None	Land	None	{T}, Pay 1 life: Add {G} or {W} to your mana pool.|{1}, {T}, Sacrifice Horizon Canopy: Draw a card.		
Kor Haven		Legendary	Land	None	{T}: Add  to your mana pool.|{1}{W}, {T}: Prevent all combat damage that would be dealt by target attacking creature this turn.		
Mana Confluence		None	Land	None	{T}, Pay 1 life: Add one mana of any color to your mana pool.		
Marsh Flats		None	Land	None	{T}, Pay 1 life, Sacrifice Marsh Flats: Search your library for a Plains or Swamp card and put it onto the battlefield. Then shuffle your library.		
